RANK,DRUG NAME,NDC,RXS,RFS,QTY,TOTAL U&C,TOTAL PRICE,TOTAL COST,GROSS MARGIN,PCT MARGIN
41,ACNE MEDICATION 10 10 % GEL,536105656,2,7,675,4754.55,93,2748.6,-2655.6,0
42,ACNE MEDICATION 5 5 % GEL,536105556,0,2,43,264.33,15,93.74,-78.74,0
43,ACT SPONGEBOB RINSE,4116709350,1,10,11,148.5,68,38.72,29.28,43
44,ACYCLOVIR 200 MG CAPS,75834012401,1,0,21,12.75,3.21,1.47,1.74,54.2
45,ACYCLOVIR 200 MG/5ML SUSP,50383081016,1,0,75,80.59,80.59,45.56,35.03,43.4
46,ACYCLOVIR 400 MG TABS,61442011201,1,0,28,62.8,5.24,2.05,3.19,60.8
47,ACYCLOVIR 5 % OINT,16714066801,1,0,15,393.94,51.24,43,8.24,16
48,ACYCLOVIR 5 % OINT,68462074617,1,0,15,408.8,84.13,1894.99,-1810.86,0
49,ACYCLOVIR 800 MG TABS,93894701,0,1,21,86.99,3.58,6.03,-2.45,0
50,ADAPALENE 0.1 % GEL,93630195,1,0,45,206.56,206.56,157.25,49.31,23.8
51,ADAPALENE 0.3 % GEL,66993088445,2,0,90,613.98,406.99,409.98,-2.99,0
52,ADJUST BATH/SHOWER SEAT/BAC,23601002651,1,0,1,40.91,40,175,-135,0
53,ADMELOG SOLOSTAR 100 UNIT/M,24592505,1,10,165,5108.8,4050.87,4000.48,50.39,1.2
54,ADULT ROBITUSSIN PEAK COLD,31873618,1,0,236,18.04,10,6.88,3.12,31.2
55,ADVAIR 250-50 DISKUS,173069600,8,6,840,6758.08,5967.25,5294.38,672.87,11.2
56,ADVIL CONGESTION RELIEF TAB,573019510,1,0,10,15.69,9,20,-11,0
57,AIMOVIG 70 MG/ML SOAJ,55513084101,1,0,1,700,577.79,950,-372.21,0
58,ALAVERT 10 MG TBDP,573262119,3,0,90,68.97,26.03,90,-63.97,0
59,ALBUTEROL SUL 0.63 MG/3 ML,378699152,6,0,1275,765.43,167.3,267.74,-100.44,0
60,ALBUTEROL SUL 0.63 MG/3 ML,487030101,2,0,435,260.67,128.25,87,41.25,32.1
61,ALBUTEROL SUL 1.25 MG/3 ML,487990401,1,0,375,217.48,33.88,95.04,-61.16,0
62,ALBUTEROL SUL 1.25 MG/3 ML,378699252,3,0,600,361.97,155.27,134.4,20.87,13.4
63,ALBUTEROL SUL 2.5 MG/3 ML S,487950103,14,3,2025,710.02,154.53,75.33,79.2,51.2
64,ALBUTEROL SUL 2.5 MG/3 ML S,591379783,17,8,5625,2556.25,453.91,296.25,157.66,34.7
65,ALBUTEROL SUL 2.5 MG/3 ML S,487950125,5,1,600,220,29.98,19.51,10.47,34.9
66,ALBUTEROL SUL 2.5 MG/3 ML S,76204020025,2,0,375,186.38,70.05,19.1,50.95,72.7
67,ALBUTEROL SUL 2.5 MG/3 ML S,487950101,8,2,2025,640.04,215.11,98.05,117.06,54.4
68,ALBUTEROL SUL 2.5 MG/3 ML S,487950160,1,0,75,30,2.09,2.39,-0.3,0
69,ALBUTEROL SULF 2 MG/5 ML SY,50383074016,3,0,420,83.83,11.29,26.88,-15.59,0
70,ALBUTEROL SULF 2 MG/5 ML SY,472082516,2,0,360,43.42,8.54,12.56,-4.02,0
71,ALBUTEROL SULFATE HFA 108 (,66993001968,64,48,2070,8300.6,4627.62,4725.58,-97.96,0
72,ALBUTEROL SULFATE HFA 108 (,93317431,20,15,36,3014.37,1832.4,1263.92,568.48,31
73,ALCLOMETASONE DIPR 0.05% OI,168026415,1,0,15,29.99,14.6,18.38,-3.78,0
74,ALCLOMETASONE DIPRO 0.05% C,168026315,1,1,30,116.14,35.36,41.94,-6.58,0
75,ALCLOMETASONE DIPRO 0.05% C,68462030047,1,0,45,107.51,36.13,44,-7.87,0
76,ALCOHOL 70,15256090002,2,0,2,22.8,4,2.8,1.2,30
77,ALCOHOL PREP PAD,61678411142,6,1,504,75.04,18,5.04,12.96,72
78,ALCOHOL PREP PADS,67777012114,7,12,1606,208.62,35.51,16.06,19.45,54.7
79,ALCOHOL SWABS KENDALL,75940902284,4,2,6,60.3,12,0.06,11.94,99.5
80,ALCOHOL WIPES A4245 PAD,87701888205,4,1,104,908,11,1040,-1029,0
81,ALENDRONATE NA 70 MG TAB,115168134,10,23,164,3689.95,284.74,137.35,147.39,51.7
82,ALENDRONATE NA 70 MG TAB,16714063301,9,19,128,2892.8,219.28,28.8,190.48,86.8
83,ALFUZOSIN HCL ER 10 MG TB24,47335095688,2,1,150,662.02,26.41,16.9,9.51,36
84,ALFUZOSIN HCL ER 10 MG TB24,60505285001,2,5,210,955.71,28.58,80.99,-52.41,0
85,ALFUZOSIN HCL ER 10 MG TB24,69097084407,1,0,90,389.54,7.25,8.6,-1.35,0
86,ALIGN CAPS,37000014343,5,10,424,549.03,439,337.68,101.32,23
87,ALLEGRA-D 24 HOUR TABLET,41167432007,1,0,15,28.72,22,16.41,5.59,25.4
88,ALLERGY 10 MG TABLET,536109203,1,0,20,11.22,8,0.73,7.27,90.8
89,ALLERGY RELIEF-NASAL DECONG,51660072415,1,0,15,18.59,6.52,8.41,-1.89,0
90,ALLOPURINOL 100 MG TABS,63304053910,5,4,450,202.5,65.21,49.5,15.71,24
91,ALLOPURINOL 100 MG TABS,378013701,2,9,330,269.39,57.2,84.15,-26.95,0
92,ALLOPURINOL 300 MG TABS,591554405,2,10,360,435.72,54.39,188.64,-134.25,0
93,ALOE LOTION JERGENS,19100011003,1,0,2,11,9,7,2,22.2
94,ALPHAGAN P 0.1 % SOLN,23932105,2,0,10,403.9,371.87,293.8,78.07,20.9
95,ALPRAZOLAM 0.25 MG TABS,67253090050,18,0,913,814.51,82.53,18.87,63.66,77.1
96,ALPRAZOLAM 0.25 MG TABS,378400105,2,0,105,99.39,4.86,73.5,-68.64,0
97,ALPRAZOLAM 0.5 MG TABS,228202950,114,0,6313,7026.56,429.1,82.31,346.79,80.8
98,ALPRAZOLAM 0.5 MG TABS,781107710,2,0,88,92.39,6.59,1.24,5.35,81.1
99,ALPRAZOLAM 0.5 MG TABS,781107705,1,0,60,60.66,2.68,2.5,0.18,6.7
100,ALPRAZOLAM 1 MG TABS,781107910,30,0,2541,3089.41,372.23,38.79,333.44,89.5
101,ALPRAZOLAM 1 MG TABS,228203196,25,0,2022,2431.73,289.57,33.94,255.63,88.2
102,ALPRAZOLAM 1 MG TABS,59762372104,10,0,1010,996.45,135.5,19.19,116.31,85.8
103,ALPRAZOLAM 1 MG TABS,59762372101,1,0,30,39.52,15,0.99,14.01,93.4
104,ALPRAZOLAM 2 MG TABS,781108905,29,0,2280,4657.43,253.97,143.2,110.77,43.6
105,ALPRAZOLAM 2 MG TABS,67253090350,2,0,150,314.75,12.41,8.7,3.71,29.8
106,ALPRAZOLAM 2 MG TABS,781108901,1,0,60,127.88,2.14,6.63,-4.49,0
107,ALPRAZOLAM 2 MG TABS,59762372203,33,0,2475,4147.6,232.92,148.67,84.25,36.1
108,ALPRAZOLAM ER 0.5 MG TB24,65862045460,1,0,10,31.49,4.91,141.66,-136.75,0
109,ALREX 0.2 % SUSP,24208035305,1,0,5,280.72,227.27,216.58,10.69,4.7
110,ALVESCO 160 MCG/ACT AERS,70515071201,1,0,3,997.14,791.72,28500,-27708.28,0
111,ALWAYS F/ULTRA THIN,37000002923,1,0,192,40.72,40.72,36.48,4.24,10.4
112,ALWAYS OVERNIGHT WINGS MAXI,70000060040,6,0,15,114,600,54,546,91
113,ALWAYS OVERNIGHT WINGS ULTR,3700030662,1,0,1,38,40,31.29,8.71,21.7
114,ALWAYS ULTRA OVERNIGHT/WING,37000030662,1,0,13,12.84,6,14.56,-8.56,0
115,AMANTADINE 50 MG/5 ML SOLN,121064616,3,8,10500,1724.9,413.06,179.09,233.97,56.6
116,AMIODARONE HCL 200 MG TABS,93913306,0,1,90,307.22,18.63,16.66,1.97,10.5
117,AMIODARONE HCL 200 MG TABS,185014460,5,4,326,1192.44,129.69,80.1,49.59,38.2
118,AMIODARONE HCL 200 MG TABS,68382022714,7,5,450,1614.92,121.53,96.22,25.31,20.8
119,AMIODARONE HCL 200 MG TABS,68382022705,7,4,440,1531.45,196.5,95.53,100.97,51.3
120,AMITIZA 24 MCG CAPS,64764024060,2,9,360,2781.92,2298.05,2137.56,160.49,6.9
121,AMITIZA 8 MCG CAPS,64764008060,2,3,150,1163.3,973.65,890.65,83,8.5
122,AMITRIPTYLINE HCL 10 MG TAB,378261010,2,13,512,304.34,115.78,65.85,49.93,43.1
123,AMITRIPTYLINE HCL 10 MG TAB,603221232,2,0,58,37.48,23.36,7.86,15.5,66.3
124,AMITRIPTYLINE HCL 10 MG TAB,781148601,4,2,472,145.32,66.2,73.6,-7.4,0
125,AMITRIPTYLINE HCL 10 MG TAB,781148610,1,0,120,31.3,11.67,17.75,-6.08,0
126,AMITRIPTYLINE HCL 100 MG TA,378268501,1,5,240,669.6,293.08,246.88,46.2,15.7
127,AMITRIPTYLINE HCL 100 MG TA,781149001,2,0,180,277.18,186.16,236.6,-50.44,0
128,AMITRIPTYLINE HCL 100 MG TA,603221621,1,0,90,238.6,93.08,74.79,18.29,19.6
129,AMITRIPTYLINE HCL 25 MG TAB,781148701,5,5,330,219.13,53.1,102.96,-49.86,0
130,AMITRIPTYLINE HCL 50 MG TAB,378265010,1,0,30,41.66,18,15.43,2.57,14.2
131,AMITRIPTYLINE HCL 50 MG TAB,603221421,0,1,90,124.3,32.31,35.64,-3.33,0
132,AMITRIPTYLINE HCL 50 MG TAB,603221432,3,4,210,291.62,113.33,89.25,24.08,21.2
133,AMLODIPINE BESYLATE 10 MG T,67877019905,30,44,2699,7171.89,518.51,50.07,468.44,90.3
134,AMLODIPINE BESYLATE 10 MG T,378521077,8,24,940,2550.68,178.78,105.96,72.82,40.7
135,AMLODIPINE BESYLATE 10 MG T,29300024310,49,65,3980,10597.95,536.26,89.1,447.16,83.3
136,AMLODIPINE BESYLATE 10 MG T,59762154001,16,10,794,2144.7,143.97,277.9,-133.93,0
137,AMLODIPINE BESYLATE 2.5 MG,68382012116,8,11,570,1177.05,144.25,9.94,134.31,93.1
138,AMLODIPINE BESYLATE 2.5 MG,59762152001,2,0,60,123.78,8.22,244.08,-235.86,0
139,AMLODIPINE BESYLATE 2.5 MG,378520805,9,27,1080,2227.68,194.58,14.04,180.54,92.7
140,AMLODIPINE BESYLATE 5 MG TA,67877019805,20,37,2400,4863.03,313.68,24,289.68,92.3
141,AMLODIPINE BESYLATE 5 MG TA,378520977,8,23,907,1878.5,74.65,78,-3.35,0
142,AMLODIPINE BESYLATE 5 MG TA,67877019810,45,88,5313,10833.6,752.74,106.26,646.48,85.8
143,AMLODIPINE BESYLATE 5 MG TA,59762153001,14,18,1200,2395.68,284.46,271.2,13.26,4.6
144,AMLODIPINE-BENAZEPRIL 10-40,55111058601,4,7,330,1707.86,105.56,80.95,24.61,23.3
145,AMLODIPINE-BENAZEPRIL 5-10,55111033901,1,10,330,1003.31,380.94,84.14,296.8,77.9
146,AMLODIPINE-BENAZEPRIL 5-40,65862058501,1,1,60,263.18,31.96,7.2,24.76,77.4
147,AMLODIPINE-OLMESARTAN 10-40,57664077583,2,4,180,747.78,73.43,145.8,-72.37,0
148,AMLODIPINE-OLMESARTAN 5-20,93702756,2,0,180,1431.32,65.46,401.67,-336.21,0
149,AMLODIPINE-VALSARTAN 5-160,49884057411,2,0,120,676,36.21,104,-67.79,0
150,AMMENS POWDER,82775501058,0,3,3,41.91,18,11.91,6.09,33.8
151,AMMONIUM LACTATE 12 % CREA,51672130104,36,28,9240,2121.04,933.43,504.28,429.15,45.9
152,AMMONIUM LACTATE 12 % CREA,45802049326,12,14,10010,1562.08,921.6,915.65,5.95,0.6
153,AMMONIUM LACTATE 12 % CREA,63044040420,3,0,420,114,25.91,20.87,5.04,19.4
154,AMMONIUM LACTATE 12 % CREA,45802049383,1,0,140,29.15,8.9,13.81,-4.91,0
155,AMMONIUM LACTATE 12 % LOTN,45802041954,26,13,8775,1678.95,740.86,702.39,38.47,5.1
156,AMMONIUM LACTATE 12 % LOTN,51672130005,5,4,2025,475.56,193.23,127.17,66.06,34.1
157,AMMONIUM LACTATE 12 % LOTN,51672130009,41,17,23200,4491.52,1868.38,1330.52,537.86,28.7
158,AMMONIUM LACTATE 12 % LOTN,45802041926,6,0,2400,399.84,203.91,181.26,22.65,11.1
159,AMOX-CLAV 250-62.5 MG/5 ML,60432006547,1,0,150,137,60.82,47.84,12.98,21.3
160,AMOX-CLAV 250-62.5 MG/5 ML,43598020452,1,0,200,300.32,89.22,266.72,-177.5,0
161,AMOX-CLAV 400-57 MG TAB CHE,93227234,1,0,20,117.81,52.02,56,-3.98,0
162,AMOX-CLAV 400-57 MG/5 ML SU,65862053401,2,0,300,226.79,68.69,28.91,39.78,57.9
163,AMOX-CLAV 400-57 MG/5 ML SU,143998250,1,0,150,123.25,9.66,21.48,-11.82,0
164,AMOX-CLAV 400-57 MG/5 ML SU,16714029303,1,0,100,80.05,14.82,6.75,8.07,54.4
165,AMOX-CLAV 500-125 MG TABLET,781183120,3,0,50,219.22,32.66,77.75,-45.09,0
166,AMOX-CLAV 500-125 MG TABLET,93227434,3,0,42,188.94,25.67,34.38,-8.71,0
167,AMOX-CLAV 500-125 MG TABLET,66685100200,4,0,64,282.2,24.35,90.24,-65.89,0
168,AMOX-CLAV 500-125 MG TABLET,16714049401,1,0,10,47.84,4.39,4,0.39,8.8
169,AMOX-CLAV 600-42.9 MG/5 ML,781613948,1,0,200,140.38,13.71,65.4,-51.69,0
170,AMOX-CLAV 600-42.9 MG/5 ML,16714029402,2,0,250,181.22,22.54,19.66,2.88,12.7
171,AMOX-CLAV 600-42.9 MG/5 ML,93867575,1,0,125,71.46,9.4,34.24,-24.84,0
172,AMOX-CLAV 600-42.9 MG/5 ML,65862053513,2,0,250,186.04,17.38,27.64,-10.26,0
173,AMOX-CLAV 600-42.9 MG/5 ML,65862053502,2,0,400,280.76,35.7,24,11.7,32.7
174,AMOX-CLAV 600-42.9 MG/5 ML,781613954,1,0,100,76.42,6.41,32.7,-26.29,0
175,AMOX-CLAV 875-125 MG TABLET,93227534,28,1,548,3058.21,306.33,613.52,-307.19,0
176,AMOX-CLAV 875-125 MG TABLET,66685100100,17,1,320,1796.46,191.35,539.97,-348.62,0
177,AMOX-CLAV 875-125 MG TABLET,16714047801,19,0,358,1998.43,211.61,79.37,132.24,62.4
178,AMOX-CLAV 875-125 MG TABLET,66685100101,15,0,284,1541.6,153.36,237.56,-84.2,0
179,AMOX-CLAV 875-125 MG TABLET,781185220,19,0,306,1735.73,153.96,572.03,-418.07,0
180,AMOX-CLAV 875-125 MG TABLET,65862050301,3,1,64,356.82,32.78,32.91,-0.13,0
181,AMOX-CLAV 875-125 MG TABLET,65862050320,1,0,16,90.82,35,7.67,27.33,78
182,"AMOX-CLAV ER 1,000-62.5 MG",781194339,1,0,14,107.73,69.21,68.33,0.88,1.2
183,AMOXICILLIN 200 MG/5ML SUSR,65862007001,1,0,100,19.14,2.82,2.57,0.25,8.8
184,AMOXICILLIN 250 MG CAPS,781202005,3,0,81,49.19,10.07,8.94,1.13,11.2
185,AMOXICILLIN 250 MG CAPS,781202001,1,0,30,17.46,11.44,0.91,10.53,92
186,AMOXICILLIN 250 MG CAPS,16714029801,2,0,45,31.25,8.13,2.89,5.24,64.4
187,AMOXICILLIN 250 MG/5ML SUSR,143988915,8,0,1350,143.55,25.59,20.88,4.71,18.4
188,AMOXICILLIN 250 MG/5ML SUSR,781604155,7,0,1500,140.63,32.84,39.2,-6.36,0
189,AMOXICILLIN 400 MG/5ML SUSR,143988701,9,0,1000,188.1,22.31,15.7,6.61,29.6
190,AMOXICILLIN 400 MG/5ML SUSR,781615752,8,0,1350,212.3,46.13,86.4,-40.27,0
191,AMOXICILLIN 400 MG/5ML SUSR,65862007101,1,0,200,29.62,3.05,16,-12.95,0
192,AMOXICILLIN 400 MG/5ML SUSR,781615746,5,0,600,108.86,18.27,16.92,1.35,7.3
193,AMOXICILLIN 400 MG/5ML SUSR,143988750,2,0,350,54.3,22.73,8.89,13.84,60.8
194,AMOXICILLIN 400 MG/5ML SUSR,93416173,2,0,200,39.62,3.66,17.12,-13.46,0
195,AMOXICILLIN 400 MG/5ML SUSR,65862007150,3,0,350,63.95,6.99,22.26,-15.27,0
196,AMOXICILLIN 500 MG CAPS,781261305,39,2,985,784.68,134.08,122.79,11.29,8.4
197,AMOXICILLIN 500 MG CAPS,93310905,17,1,355,310.87,50.78,50.56,0.22,0.4
198,AMOXICILLIN 500 MG CAPS,16714029904,30,0,645,546.33,99.38,36.26,63.12,63.5
199,AMOXICILLIN 500 MG CAPS,76439010410,2,0,51,42.32,3.7,4.06,-0.36,0
200,AMOXICILLIN 500 MG CAPS,65862001705,4,0,111,82.28,17.93,6.31,11.62,64.8
201,AMOXICILLIN 500 MG CAPS,143993905,3,0,56,51.89,18.3,3.81,14.49,79.1
202,AMOXICILLIN 500 MG TABS,57237002801,10,2,220,229.48,70.57,33.4,37.17,52.6
203,AMOXICILLIN 875 MG TABS,93226401,7,1,142,203.8,57.59,52.41,5.18,8.9
204,AMOXICILLIN 875 MG TABS,781506101,13,1,258,365.07,48.31,66.56,-18.25,0
205,AMOXICILLIN 875 MG TABS,143995101,1,0,14,22.2,5.57,1.79,3.78,67.8
206,AMOXICILLIN 875 MG TABS,43598021901,1,0,20,27.44,2.32,2.2,0.12,5.1
207,AMOXICILLIN 875 MG TABS,65862001501,8,2,230,300.1,70.52,38.54,31.98,45.3
208,AMPHETAMINE-DEXTROAMPHET ER,43975033610,9,0,270,540.36,305.54,295.2,10.34,3.3
209,AMPHETAMINE-DEXTROAMPHET ER,43975033510,3,0,90,180.12,98.04,98.1,-0.06,0
210,AMPHETAMINE-DEXTROAMPHETAMI,16714080401,2,0,120,224.04,103.14,43.26,59.88,58
211,ANASTROZOLE 1 MG TABS,16729003510,2,1,68,934.64,48.19,6.8,41.39,85.8
212,ANDROGEL 1.62% GEL PUMP,51846233,1,0,75,755.26,643.43,596.22,47.21,7.3
213,ANECREAM 4 % CREA,24357070115,1,0,15,29.2,30,12.75,17.25,57.5
214,ANIMAL SHAPES TABLET CHEW,904262170,3,14,510,183.26,26,7.65,18.35,70.5
215,ANORO ELLIPTA 62.5-25 MCG I,173086910,10,9,1140,9528.5,7775.14,7459.53,315.61,4
216,ANTACID EX-STR 750 MG TAB C,536105022,1,2,180,37.29,15,3.45,11.55,77
217,ANTI-DANDRUFF 1 % SHAM,536199553,1,0,207,14.57,6,3,3,50
218,ANTIBACTERIAL BANDAGES MISC,11917010456,1,0,2,10.99,6,222.5,-216.5,0
219,ANUCORT-HC 25 MG SUPP,713050324,1,0,28,612.38,132.93,290.58,-157.65,0
220,APAP 160 MG/5ML ELIX,54162012916,1,0,473,14.49,10,3.5,6.5,65
221,APIDRA SOLOSTAR 100 UNITS/M,88250205,1,0,15,668.21,526.73,526.58,0.15,0
222,APRISO 0.375 GM CP24,65649010302,8,6,960,5030.27,3962.07,3912.23,49.84,1.2
223,AQUAPHOR 41% HEALING OINT,72140063377,1,0,85,16.98,7,5.28,1.72,24.5
224,AQUAPHOR HEALIONG 41%,10356010113,1,0,1,15,15,9.75,5.25,35
225,AQUAPHOR OINT,72140003147,4,1,1980,129.95,75,61.6,13.4,17.8
226,ARIPIPRAZOLE 10 MG TABS,13668021830,1,1,45,1464.99,21.63,14.16,7.47,34.5
227,ARIPIPRAZOLE 10 MG TABS,93758056,10,13,926,29964.45,3053.47,26761.08,-23707.61,0
228,ARIPIPRAZOLE 10 MG TABS,31722082730,10,17,659,21429.78,4477.22,957.52,3519.7,78.6
229,ARIPIPRAZOLE 10 MG TABS,16714078501,6,1,186,5998.16,121.05,45.73,75.32,62.2
230,ARIPIPRAZOLE 15 MG TABS,93758156,6,2,238,7722.33,722.72,6878.12,-6155.4,0
231,ARIPIPRAZOLE 15 MG TABS,13668021930,2,2,120,3893.32,323.2,34.88,288.32,89.2
232,ARIPIPRAZOLE 2 MG TABS,65862066130,21,15,1128,36580.78,1142.06,233.08,908.98,79.5
233,ARIPIPRAZOLE 2 MG TABS,93761356,10,0,360,11659.84,331.7,10195.8,-9864.1,0
234,ARIPIPRAZOLE 2 MG TABS,13668021690,4,1,148,4802.38,179.13,23.73,155.4,86.7
235,ARIPIPRAZOLE 20 MG TABS,13668022030,2,4,176,8051.92,1083.02,108.7,974.32,89.9
236,ARIPIPRAZOLE 20 MG TABS,31722082930,14,14,809,37013.19,3127.2,1338.59,1788.61,57.1
237,ARIPIPRAZOLE 20 MG TABS,93758256,1,0,30,1372.26,23.8,1201.52,-1177.72,0
238,ARIPIPRAZOLE 20 MG TABS,13811068330,1,1,56,2560.04,1023.89,771.74,252.15,24.6
239,ARIPIPRAZOLE 30 MG TABS,93758356,3,10,318,14569.95,3257.22,12736.11,-9478.89,0
240,ARIPIPRAZOLE 30 MG TABS,13668022130,7,6,366,16749.56,4734.12,96.8,4637.32,97.9
241,ARIPIPRAZOLE 30 MG TABS,16714078801,2,5,202,9206.77,2553.21,92.16,2461.05,96.3
242,ARIPIPRAZOLE 5 MG TABS,93756956,25,15,1084,35207.92,3453.2,31327.2,-27874,0
243,ARIPIPRAZOLE 5 MG TABS,13811068030,7,14,630,20417.25,7511.84,5789.7,1722.14,22.9
244,ARIPIPRAZOLE 5 MG TABS,13668021730,16,5,649,21050.03,2846.75,204.2,2642.55,92.8
245,ARIPIPRAZOLE 5 MG TABS,16714078401,3,4,210,6753.25,1481.17,48.32,1432.85,96.7
246,ARMODAFINIL 150 MG TABS,93309256,1,2,90,1999.92,113.34,73.65,39.69,35
247,ARMODAFINIL 150 MG TABS,378343293,2,0,60,1331.82,71.89,120.92,-49.03,0
248,ARMODAFINIL 150 MG TABS,65862080630,2,3,150,3329.55,384.62,150,234.62,61
249,ARNUITY ELLIPTA 100 MCG INH,173087410,2,5,210,1527.82,1179.05,1160.06,18.99,1.6
250,ARNUITY ELLIPTA 200 MCG INH,173087610,5,8,390,3754.66,3068.5,2918.49,150.01,4.8
251,ARTIFICIAL TEARS 1.4 % SOLN,536108494,14,16,450,431.4,86.44,59.85,26.59,30.7
252,ARTIFICIAL TEARS 1.4 % SOLN,536197072,2,1,45,43.14,10.5,7.35,3.15,30
253,ARTIFICIAL TEARS DROPS,57896018405,4,2,90,69.96,21,8.1,12.9,61.4
254,ARTIFICIAL TEARS GS,11716000106,0,2,30,23,7,3,4,57.1
255,ASMANEX TWISTHALR 220 MCG #,85134101,1,0,1,396.52,310.04,309.22,0.82,0.2
256,ASPERCREME LIDOCAINE 4% CRM,41167005820,1,0,1,15.99,4.05,11,-6.95,0
257,ASPIR-LOW 81 MG TBEC,904770470,34,64,3030,1056.79,102.57,27.3,75.27,73.3
258,ASPIR-LOW 81 MG TBEC,904770480,32,67,3186,1056.61,101.07,18.86,82.21,81.3
259,ASPIRIN 81 MG TBEC,16103035611,89,181,9243,2823.31,294.28,92.43,201.85,68.5
260,ASPIRIN EC 325 MG TBEC,57896092110,2,3,390,53.68,12.22,3.33,8.89,72.7
261,ASPIRIN LOW DOSE 81 MG CHEW,904628889,5,11,660,186.43,16.94,13.2,3.74,22
262,ASPIRIN-DIPYRIDAM ER 25-200,65162059606,1,4,300,2556.5,1744.38,1522.58,221.8,12.7
263,ATENOLOL 100 MG TABS,781150710,2,2,225,307.5,7.4,13.97,-6.57,0
264,ATENOLOL 25 MG TABS,781107810,5,10,486,527.46,45.71,14.09,31.62,69.1
